Notes,County,Birth Weight,Death Rate
Total,"Ada County, ID",,4.56
,"Unidentified Counties, ID",499 grams or less,965.52
,"Unidentified Counties, ID",500 - 999 grams,245.90 (Unreliable)
,"Unidentified Counties, ID",2500 - 2999 grams,5.19 (Unreliable)
,"Unidentified Counties, ID",3000 - 3499 grams,2.30 (Unreliable)
Total,"Unidentified Counties, ID",,6.19
,"Cook County, IL",499 grams or less,857.14
,"Cook County, IL",500 - 999 grams,280.1
,"Cook County, IL",1000 - 1499 grams,41.87
,"Cook County, IL",1500 - 1999 grams,21.52
,"Cook County, IL",2000 - 2499 grams,11.71
,"Cook County, IL",2500 - 2999 grams,3.75
,"Cook County, IL",3000 - 3499 grams,1.59
,"Cook County, IL",3500 - 3999 grams,0.94 (Unreliable)
Total,"Cook County, IL",,7.08
Total,"DuPage County, IL",,3.79
,"Kane County, IL",499 grams or less,1000.00 (Unreliable)
,"Kane County, IL",500 - 999 grams,234.04 (Unreliable)
Total,"Kane County, IL",,5.96
,"Lake County, IL",499 grams or less,785.71 (Unreliable)
Total,"Lake County, IL",,3.39
Total,"McHenry County, IL",,3.88 (Unreliable)
Total,"Madison County, IL",,7.87
Total,"St. Clair County, IL",,8.67
,"Will County, IL",499 grams or less,1000
Total,"Will County, IL",,6.54
Total,"Winnebago County, IL",,7.01
,"Unidentified Counties, IL",499 grams or less,923.08
,"Unidentified Counties, IL",500 - 999 grams,302.56
,"Unidentified Counties, IL",1000 - 1499 grams,62.91 (Unreliable)
,"Unidentified Counties, IL",1500 - 1999 grams,22.46 (Unreliable)
,"Unidentified Counties, IL",2000 - 2499 grams,9.71
,"Unidentified Counties, IL",2500 - 2999 grams,4.5
,"Unidentified Counties, IL",3000 - 3499 grams,1.8
,"Unidentified Counties, IL",3500 - 3999 grams,1.54 (Unreliable)
Total,"Unidentified Counties, IL",,6.35
,"Allen County, IN",499 grams or less,923.08 (Unreliable)
Total,"Allen County, IN",,8.35
Total,"Hamilton County, IN",,5.00 (Unreliable)
,"Lake County, IN",499 grams or less,833.33 (Unreliable)
,"Lake County, IN",500 - 999 grams,315.79 (Unreliable)
Total,"Lake County, IN",,8.31
,"Marion County, IN",499 grams or less,871.79
,"Marion County, IN",500 - 999 grams,272.73
,"Marion County, IN",1500 - 1999 grams,42.55 (Unreliable)
,"Marion County, IN",2500 - 2999 grams,4.68 (Unreliable)
,"Marion County, IN",3000 - 3499 grams,2.15 (Unreliable)
Total,"Marion County, IN",,8.47
Total,"St. Joseph County, IN",,7.27
,"Unidentified Counties, IN",499 grams or less,857.14
,"Unidentified Counties, IN",500 - 999 grams,232.37
,"Unidentified Counties, IN",1000 - 1499 grams,72.63
,"Unidentified Counties, IN",1500 - 1999 grams,38.76
,"Unidentified Counties, IN",2000 - 2499 grams,19.03
,"Unidentified Counties, IN",2500 - 2999 grams,5.59
,"Unidentified Counties, IN",3000 - 3499 grams,2.34
,"Unidentified Counties, IN",3500 - 3999 grams,1.61
Total,"Unidentified Counties, IN",,7.07
,"Polk County, IA",500 - 999 grams,333.33 (Unreliable)
,"Polk County, IA",3000 - 3499 grams,3.93 (Unreliable)
Total,"Polk County, IA",,8.24
,"Unidentified Counties, IA",499 grams or less,724.14
,"Unidentified Counties, IA",500 - 999 grams,272
,"Unidentified Counties, IA",1500 - 1999 grams,39.91 (Unreliable)
,"Unidentified Counties, IA",2000 - 2499 grams,11.74 (Unreliable)
,"Unidentified Counties, IA",2500 - 2999 grams,2.48 (Unreliable)
,"Unidentified Counties, IA",3000 - 3499 grams,2.53
,"Unidentified Counties, IA",3500 - 3999 grams,1.29 (Unreliable)
Total,"Unidentified Counties, IA",,5.48
Total,"Johnson County, KS",,3.94
,"Sedgwick County, KS",499 grams or less,941.18 (Unreliable)
Total,"Sedgwick County, KS",,8.62
,"Unidentified Counties, KS",499 grams or less,818.18 (Unreliable)
,"Unidentified Counties, KS",500 - 999 grams,253.85
,"Unidentified Counties, KS",2000 - 2499 grams,18.10 (Unreliable)
,"Unidentified Counties, KS",2500 - 2999 grams,4.22 (Unreliable)
,"Unidentified Counties, KS",3000 - 3499 grams,2.09 (Unreliable)
,"Unidentified Counties, KS",3500 - 3999 grams,1.98 (Unreliable)
Total,"Unidentified Counties, KS",,5.82
Total,"Fayette County, KY",,5.13
,"Jefferson County, KY",499 grams or less,562.50 (Unreliable)
Total,"Jefferson County, KY",,6.47
,"Unidentified Counties, KY",499 grams or less,657.14
,"Unidentified Counties, KY",500 - 999 grams,251.21
,"Unidentified Counties, KY",1000 - 1499 grams,44.20 (Unreliable)
,"Unidentified Counties, KY",1500 - 1999 grams,38.08
,"Unidentified Counties, KY",2000 - 2499 grams,12.74
,"Unidentified Counties, KY",2500 - 2999 grams,5.85
,"Unidentified Counties, KY",3000 - 3499 grams,2.39
,"Unidentified Counties, KY",3500 - 3999 grams,2.93
Total,"Unidentified Counties, KY",,7.02
,"Caddo Parish, LA",499 grams or less,1000.00 (Unreliable)
,"Caddo Parish, LA",500 - 999 grams,263.16 (Unreliable)
Total,"Caddo Parish, LA",,11.3
,"East Baton Rouge Parish, LA",499 grams or less,863.64 (Unreliable)
,"East Baton Rouge Parish, LA",500 - 999 grams,297.87 (Unreliable)
