USPS,GEOID,NAME,INTPTLAT,INTPTLONG
WI,55023,Crawford County,43.24991,-90.95123
WI,55025,Dane County,43.067468,-89.417852
WI,55027,Dodge County,43.422662,-88.704398
WI,55029,Door County,45.093417,-87.048683
WI,55031,Douglas County,46.463218,-91.892477
WI,55033,Dunn County,44.947745,-91.897661
WI,55035,Eau Claire County,44.726355,-91.286414
WI,55037,Florence County,45.871828,-88.406988
WI,55039,Fond du Lac County,43.754722,-88.493284
WI,55041,Forest County,45.666881,-88.773326
WI,55043,Grant County,42.870028,-90.694229
WI,55045,Green County,42.675522,-89.605074
WI,55047,Green Lake County,43.82619,-89.113699
WI,55049,Iowa County,43.001021,-90.133691
WI,55051,Iron County,46.32655,-90.261298
WI,55053,Jackson County,44.326331,-90.797491
WI,55055,Jefferson County,43.013804,-88.773985
WI,55057,Juneau County,43.932836,-90.113984
WI,55059,Kenosha County,42.579703,-87.425005
WI,55061,Kewaunee County,44.501064,-87.163062
WI,55063,La Crosse County,43.908222,-91.111758
WI,55065,Lafayette County,42.655578,-90.130292
WI,55067,Langlade County,45.26238,-89.067548
WI,55069,Lincoln County,45.338417,-89.742309
WI,55071,Manitowoc County,44.104433,-87.315478
WI,55073,Marathon County,44.898036,-89.757823
WI,55075,Marinette County,45.346899,-87.991198
WI,55077,Marquette County,43.826053,-89.409095
WI,55078,Menominee County,44.991304,-88.669251
WI,55079,Milwaukee County,43.01766,-87.481554
WI,55081,Monroe County,43.945175,-90.619969
WI,55083,Oconto County,44.996575,-88.206516
WI,55085,Oneida County,45.716176,-89.534533
WI,55087,Outagamie County,44.418226,-88.464988
WI,55089,Ozaukee County,43.360752,-87.499304
WI,55091,Pepin County,44.627436,-91.83489
WI,55093,Pierce County,44.725336,-92.426279
WI,55095,Polk County,45.462041,-92.447066
WI,55097,Portage County,44.476246,-89.49807
WI,55099,Price County,45.679072,-90.35965
WI,55101,Racine County,42.754123,-87.42084
WI,55103,Richland County,43.376199,-90.435693
WI,55105,Rock County,42.66988,-89.075284
WI,55107,Rusk County,45.472734,-91.136745
WI,55109,St. Croix County,45.028959,-92.447284
WI,55111,Sauk County,43.427998,-89.943329
WI,55113,Sawyer County,45.864913,-91.14713
WI,55115,Shawano County,44.789641,-88.755813
WI,55117,Sheboygan County,43.7452,-87.73212
WI,55119,Taylor County,45.211656,-90.504853
WI,55121,Trempealeau County,44.30305,-91.358867
WI,55123,Vernon County,43.599366,-90.821983
WI,55125,Vilas County,46.049848,-89.501254
WI,55127,Walworth County,42.66811,-88.541731
WI,55129,Washburn County,45.892489,-91.796422
WI,55131,Washington County,43.391156,-88.232917
WI,55133,Waukesha County,43.018368,-88.30424
WI,55135,Waupaca County,44.478004,-88.967005
WI,55137,Waushara County,44.112823,-89.239786
WI,55139,Winnebago County,44.085707,-88.668149
WI,55141,Wood County,44.461413,-90.038825
WY,56001,Albany County,41.665514,-105.721883
WY,56003,Big Horn County,44.525117,-107.994848
WY,56005,Campbell County,44.191999,-105.517014
WY,56007,Carbon County,41.70359,-106.933153
WY,56009,Converse County,42.974898,-105.505917
WY,56011,Crook County,44.589266,-104.567298
WY,56013,Fremont County,43.054831,-108.608935
WY,56015,Goshen County,42.089455,-104.35354
WY,56017,Hot Springs County,43.720209,-108.435076
WY,56019,Johnson County,44.044048,-106.588541
WY,56021,Laramie County,41.29283,-104.660395
WY,56023,Lincoln County,42.229993,-110.682961
WY,56025,Natrona County,42.977645,-106.768219
WY,56027,Niobrara County,43.062159,-104.468373
WY,56029,Park County,44.492387,-109.593597
WY,56031,Platte County,42.131593,-104.953963
WY,56033,Sheridan County,44.781369,-106.881211
WY,56035,Sublette County,42.767928,-109.91617
WY,56037,Sweetwater County,41.660328,-108.875677
WY,56039,Teton County,44.048662,-110.426072
WY,56041,Uinta County,41.284726,-110.558947
WY,56043,Washakie County,43.878831,-107.669052
WY,56045,Weston County,43.846213,-104.57002
PR,72001,Adjuntas Municipio,18.181611,-66.758165
PR,72003,Aguada Municipio,18.375681,-67.183707
PR,72005,Aguadilla Municipio,18.480191,-67.143762
PR,72007,Aguas Buenas Municipio,18.256524,-66.128496
PR,72009,Aibonito Municipio,18.130647,-66.263974
PR,72011,Añasco Municipio,18.286905,-67.131282
PR,72013,Arecibo Municipio,18.433923,-66.675055
PR,72015,Arroyo Municipio,17.97206,-66.041945
PR,72017,Barceloneta Municipio,18.469989,-66.55823
PR,72019,Barranquitas Municipio,18.198955,-66.309833
PR,72021,Bayamón Municipio,18.350866,-66.167693
PR,72023,Cabo Rojo Municipio,18.008873,-67.209884
PR,72025,Caguas Municipio,18.211109,-66.050964
PR,72027,Camuy Municipio,18.445469,-66.863134
PR,72029,Canóvanas Municipio,18.323585,-65.883206
PR,72031,Carolina Municipio,18.396776,-65.968778
PR,72033,Cataño Municipio,18.444614,-66.148819
PR,72035,Cayey Municipio,18.103624,-66.151667
PR,72037,Ceiba Municipio,18.273749,-65.530895
PR,72039,Ciales Municipio,18.295913,-66.515588
PR,72041,Cidra Municipio,18.174404,-66.161622
PR,72043,Coamo Municipio,18.1038,-66.357586
PR,72045,Comerío Municipio,18.225032,-66.219481
PR,72047,Corozal Municipio,18.30391,-66.326179
PR,72049,Culebra Municipio,18.326599,-65.30772
PR,72051,Dorado Municipio,18.472661,-66.259585
PR,72053,Fajardo Municipio,18.386378,-65.588454
PR,72054,Florida Municipio,18.369006,-66.561219
PR,72055,Guánica Municipio,17.948052,-66.922989
PR,72057,Guayama Municipio,17.973929,-66.137467
PR,72059,Guayanilla Municipio,18.005263,-66.798356
PR,72061,Guaynabo Municipio,18.344357,-66.114056
PR,72063,Gurabo Municipio,18.272581,-65.981177
PR,72065,Hatillo Municipio,18.441141,-66.79821
PR,72067,Hormigueros Municipio,18.134695,-67.116199
PR,72069,Humacao Municipio,18.135403,-65.786229
PR,72071,Isabela Municipio,18.48517,-67.013463
PR,72073,Jayuya Municipio,18.211152,-66.58687
PR,72075,Juana Díaz Municipio,17.997974,-66.490496
PR,72077,Juncos Municipio,18.224133,-65.908542
PR,72079,Lajas Municipio,17.978511,-67.040111
PR,72081,Lares Municipio,18.277102,-66.869645
PR,72083,Las Marías Municipio,18.227594,-66.97758
PR,72085,Las Piedras Municipio,18.187148,-65.871189
PR,72087,Loíza Municipio,18.475039,-65.90328
PR,72089,Luquillo Municipio,18.367996,-65.709904
PR,72091,Manatí Municipio,18.444803,-66.493137
PR,72093,Maricao Municipio,18.173956,-66.935547
PR,72095,Maunabo Municipio,17.999786,-65.896403
PR,72097,Mayagüez Municipio,18.260656,-67.182623
PR,72099,Moca Municipio,18.377637,-67.079574
PR,72101,Morovis Municipio,18.319026,-66.420557
PR,72103,Naguabo Municipio,18.21107,-65.735749
PR,72105,Naranjito Municipio,18.289927,-66.25344
PR,72107,Orocovis Municipio,18.218733,-66.436899
PR,72109,Patillas Municipio,18.000311,-65.986642
PR,72111,Peñuelas Municipio,18.026618,-66.728125
PR,72113,Ponce Municipio,18.001717,-66.606662
PR,72115,Quebradillas Municipio,18.466357,-66.927603
PR,72117,Rincón Municipio,18.340562,-67.277302
PR,72119,Río Grande Municipio,18.376369,-65.798434
PR,72121,Sabana Grande Municipio,18.084361,-66.947667
PR,72123,Salinas Municipio,17.971485,-66.262252
PR,72125,San Germán Municipio,18.1078,-67.037263
PR,72127,San Juan Municipio,18.422363,-66.068093
PR,72129,San Lorenzo Municipio,18.147107,-65.976167
PR,72131,San Sebastián Municipio,18.331409,-66.970678
PR,72133,Santa Isabel Municipio,17.952922,-66.387588
PR,72135,Toa Alta Municipio,18.364556,-66.244669
PR,72137,Toa Baja Municipio,18.45691,-66.193193
PR,72139,Trujillo Alto Municipio,18.335387,-66.003787
PR,72141,Utuado Municipio,18.270865,-66.702989
PR,72143,Vega Alta Municipio,18.436163,-66.336673
PR,72145,Vega Baja Municipio,18.455128,-66.397883
PR,72147,Vieques Municipio,18.125418,-65.432474
PR,72149,Villalba Municipio,18.130718,-66.472244
PR,72151,Yabucoa Municipio,18.059858,-65.859871
PR,72153,Yauco Municipio,18.085669,-66.857901
