County,Education,Death Rate
"Adams County, CO",Excluded,6.38
"Arapahoe County, CO",8th grade or less,9.79
"Arapahoe County, CO",9th through 12th grade with no diploma,8.92
"Arapahoe County, CO",High school graduate or GED completed,6.78
"Arapahoe County, CO","Some college credit, but not a degree",5.61
"Arapahoe County, CO","Associate degree (AA, AS)",4.73
"Arapahoe County, CO","Bachelor's degree (BA, AB, BS)",4.18
"Arapahoe County, CO","Master's degree (MA, MS)",3.05
"Arapahoe County, CO",Unknown/Not on certificate,25.22
"Arapahoe County, CO",Excluded,7.27
"Boulder County, CO",9th through 12th grade with no diploma,5.76
"Boulder County, CO",High school graduate or GED completed,6.32
"Boulder County, CO","Some college credit, but not a degree",5.43
"Boulder County, CO","Bachelor's degree (BA, AB, BS)",3.47
"Boulder County, CO","Master's degree (MA, MS)",3.67
"Boulder County, CO",Unknown/Not on certificate,26.32
"Boulder County, CO",Excluded,4.6
"Denver County, CO",8th grade or less,8.32
"Denver County, CO",9th through 12th grade with no diploma,6.43
"Denver County, CO",High school graduate or GED completed,8.72
"Denver County, CO","Some college credit, but not a degree",6.19
"Denver County, CO","Associate degree (AA, AS)",5.38
"Denver County, CO","Bachelor's degree (BA, AB, BS)",3.84
"Denver County, CO","Master's degree (MA, MS)",2.68
"Denver County, CO",Unknown/Not on certificate,22.59
"Denver County, CO",Excluded,6.93
"El Paso County, CO",9th through 12th grade with no diploma,9.92
"El Paso County, CO",High school graduate or GED completed,6.65
"El Paso County, CO","Some college credit, but not a degree",6.01
"El Paso County, CO","Associate degree (AA, AS)",5.87
"El Paso County, CO","Bachelor's degree (BA, AB, BS)",3.49
"El Paso County, CO","Master's degree (MA, MS)",2.22
"El Paso County, CO",Unknown/Not on certificate,28.28
"El Paso County, CO",Excluded,8.1
"Jefferson County, CO",9th through 12th grade with no diploma,5.85
"Jefferson County, CO",High school graduate or GED completed,6.98
"Jefferson County, CO","Some college credit, but not a degree",3.91
"Jefferson County, CO","Associate degree (AA, AS)",3.45
"Jefferson County, CO","Bachelor's degree (BA, AB, BS)",3.06
"Jefferson County, CO","Master's degree (MA, MS)",2.82
"Jefferson County, CO",Unknown/Not on certificate,22.47
"Jefferson County, CO",Excluded,6.19
"Larimer County, CO",9th through 12th grade with no diploma,6.37
"Larimer County, CO",High school graduate or GED completed,4.69
"Larimer County, CO","Some college credit, but not a degree",3.53
"Larimer County, CO","Bachelor's degree (BA, AB, BS)",3.43
"Larimer County, CO","Master's degree (MA, MS)",4.63
"Larimer County, CO",Excluded,3.46
"Weld County, CO",High school graduate or GED completed,6.12
"Weld County, CO","Some college credit, but not a degree",5.02
"Weld County, CO","Bachelor's degree (BA, AB, BS)",4.29
"Unidentified Counties, CO",8th grade or less,6.47
"Unidentified Counties, CO",9th through 12th grade with no diploma,8.29
"Unidentified Counties, CO",High school graduate or GED completed,5.5
"Unidentified Counties, CO","Some college credit, but not a degree",4.99
"Unidentified Counties, CO","Associate degree (AA, AS)",3.77
"Unidentified Counties, CO","Bachelor's degree (BA, AB, BS)",3.51
"Unidentified Counties, CO","Master's degree (MA, MS)",3.36
"Unidentified Counties, CO","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3.66
"Unidentified Counties, CO",Unknown/Not on certificate,18.4
"Unidentified Counties, CO",Excluded,5.06
"Fairfield County, CT",Excluded,4.5
"Hartford County, CT",Excluded,6.29
"New Haven County, CT",Excluded,6.07
"New London County, CT",Excluded,5.4
"Unidentified Counties, CT",Excluded,4.51
"New Castle County, DE",8th grade or less,8.85
"New Castle County, DE",9th through 12th grade with no diploma,10.57
"New Castle County, DE",High school graduate or GED completed,13.21
"New Castle County, DE","Some college credit, but not a degree",8.46
"New Castle County, DE","Associate degree (AA, AS)",8.3
"New Castle County, DE","Bachelor's degree (BA, AB, BS)",5.11
"New Castle County, DE","Master's degree (MA, MS)",4.88
"New Castle County, DE",Unknown/Not on certificate,22.03
"Unidentified Counties, DE",8th grade or less,5.1
"Unidentified Counties, DE",9th through 12th grade with no diploma,7.21
"Unidentified Counties, DE",High school graduate or GED completed,7.75
"Unidentified Counties, DE","Some college credit, but not a degree",6.78
"Unidentified Counties, DE","Associate degree (AA, AS)",5.75
"Unidentified Counties, DE","Bachelor's degree (BA, AB, BS)",3.34
"Unidentified Counties, DE","Master's degree (MA, MS)",4.11
"Unidentified Counties, DE",Unknown/Not on certificate,15.62
"District of Columbia, DC",9th through 12th grade with no diploma,9.44
"District of Columbia, DC",High school graduate or GED completed,10.14
"District of Columbia, DC","Some college credit, but not a degree",9.38
"District of Columbia, DC","Associate degree (AA, AS)",13.52
"District of Columbia, DC","Bachelor's degree (BA, AB, BS)",5
"District of Columbia, DC","Master's degree (MA, MS)",2.21
"District of Columbia, DC","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1.78
"District of Columbia, DC",Unknown/Not on certificate,50.41
"District of Columbia, DC",Excluded,10.5
"Brevard County, FL",8th grade or less,13.77
"Brevard County, FL",9th through 12th grade with no diploma,10.46
"Brevard County, FL",High school graduate or GED completed,6.64
"Brevard County, FL","Some college credit, but not a degree",5.9
"Brevard County, FL","Associate degree (AA, AS)",4.91
"Brevard County, FL","Bachelor's degree (BA, AB, BS)",4.17
"Brevard County, FL",Unknown/Not on certificate,81.82
"Broward County, FL",8th grade or less,8.49
"Broward County, FL",9th through 12th grade with no diploma,7.72
"Broward County, FL",High school graduate or GED completed,6.75
"Broward County, FL","Some college credit, but not a degree",5.11
"Broward County, FL","Associate degree (AA, AS)",4.45
"Broward County, FL","Bachelor's degree (BA, AB, BS)",3.4
"Broward County, FL","Master's degree (MA, MS)",3.58
"Broward County, FL","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3.11
"Broward County, FL",Unknown/Not on certificate,41.44
"Collier County, FL",8th grade or less,6
"Collier County, FL",9th through 12th grade with no diploma,5.2
"Collier County, FL",High school graduate or GED completed,6.85
"Collier County, FL","Some college credit, but not a degree",4.99
"Collier County, FL","Associate degree (AA, AS)",7.56
"Collier County, FL","Bachelor's degree (BA, AB, BS)",4.76
"Duval County, FL",8th grade or less,7.84
"Duval County, FL",9th through 12th grade with no diploma,10.85
"Duval County, FL",High school graduate or GED completed,9.14
"Duval County, FL","Some college credit, but not a degree",8.92
"Duval County, FL","Associate degree (AA, AS)",5.24
"Duval County, FL","Bachelor's degree (BA, AB, BS)",5.36
"Duval County, FL","Master's degree (MA, MS)",4.09
"Duval County, FL",Unknown/Not on certificate,104.7
"Escambia County, FL",9th through 12th grade with no diploma,12.54
"Escambia County, FL",High school graduate or GED completed,9.41
"Escambia County, FL","Some college credit, but not a degree",9.01
"Escambia County, FL","Associate degree (AA, AS)",3.99
"Escambia County, FL","Bachelor's degree (BA, AB, BS)",2.98
"Escambia County, FL","Master's degree (MA, MS)",7.84
"Escambia County, FL",Unknown/Not on certificate,42.55
"Hillsborough County, FL",8th grade or less,7.08
"Hillsborough County, FL",9th through 12th grade with no diploma,10.04
"Hillsborough County, FL",High school graduate or GED completed,9.93
"Hillsborough County, FL","Some college credit, but not a degree",7.7
"Hillsborough County, FL","Associate degree (AA, AS)",7.23
"Hillsborough County, FL","Bachelor's degree (BA, AB, BS)",3.79
"Hillsborough County, FL","Master's degree (MA, MS)",3.34
"Hillsborough County, FL",Unknown/Not on certificate,61.8
"Lake County, FL",9th through 12th grade with no diploma,11.89
"Lake County, FL",High school graduate or GED completed,9.47
"Lake County, FL","Some college credit, but not a degree",9.21
"Lee County, FL",8th grade or less,6.64
"Lee County, FL",9th through 12th grade with no diploma,5.67
"Lee County, FL",High school graduate or GED completed,7.37
"Lee County, FL","Some college credit, but not a degree",4.56
"Lee County, FL","Associate degree (AA, AS)",4.09
